No,zipcode,count
1,98126,43
2,98103,38
3,98106,36
4,98116,34
5,98117,30
6,98122,30
7,98118,26
8,98107,25
9,98104,22
10,98108,22
11,98133,22
12,98144,22
13,98102,19
14,98115,19
15,98136,19
16,98119,18
17,98146,17
18,98168,17
19,98199,17
20,98032,16
21,98178,15
22,98001,13
23,98023,13
24,98134,13
25,98166,13
26,98198,13
27,98177,12
28,98003,11
29,98030,11
30,98155,11
31,98057,10
32,98058,10
33,98112,10
34,98033,9
35,98055,9
36,98105,9
37,98109,9
38,98027,8
39,98101,8
40,98121,8
41,98125,8
42,98002,7
43,98012,7
44,98026,7
45,98042,7
46,98070,7
47,98188,7
48,98056,6
49,98006,5
50,98059,5
51,98029,4
52,98031,4
53,98036,4
54,98040,4
55,98043,4
56,98052,4
57,98201,4
58,98204,4
59,98422,4
60,98004,3
61,98008,3
62,98022,3
63,98037,3
64,98038,3
65,98074,3
66,98087,3
67,98092,3
68,98110,3
69,98275,3
70,98310,3
71,98337,3
72,98366,3
73,98403,3
74,98404,3
75,98007,2
76,98011,2
77,98021,2
78,98028,2
79,98072,2
80,98075,2
81,98148,2
82,98296,2
83,98354,2
84,98367,2
85,98371,2
86,98373,2
87,98391,2
88,98466,2
89,98503,2
90,97199,1
91,98005,1
92,98019,1
93,98020,1
94,98034,1
95,98047,1
96,98065,1
97,98077,1
98,98124,1
99,9819o,1
100,98208,1
101,98236,1
102,98272,1
103,98290,1
104,98312,1
105,98321,1
106,98360,1
107,98372,1
108,98374,1
109,98383,1
110,98387,1
111,98390,1
112,98408,1
113,98424,1
114,98445,1
115,98446,1
116,98467,1
117,98513,1
118,98516,1
119,99034,1
